Name_1,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName,Primary Industry,Primary Bussiness,Primary Economic,Domiciled,Incorporated,Primary Industry description
ferrovie dello stato italspa,https://permid.org/1-4295963223,Ferrovie dello Stato Italiane SpA,40%,Possible,ferrovie dello stato ital,https://permid.org/1-4295963223,Ferrovie dello Stato Italiane SpA,63%,Good,True,Passenger Transportation Services,Transportation,Industrials,Italy,Italy,"Providers of transportation services to passengers via air, ground and sea."
fiat chrysler automobiles nv,https://permid.org/1-5048857469,Fiat Chrysler Automobiles NV,92%,Excellent,fiat chrysler automobile,,,,No Match,False,0,0,0,0,0,0
fingrid oyj,https://permid.org/1-4296543266,Fingrid Oyj,92%,Excellent,fingrid,https://permid.org/1-4296543266,Fingrid Oyj,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Finland,Finland,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
firmenich productions participations sas,https://permid.org/1-5055442099,Firmenich Productions Participations SAS,92%,Excellent,firmenich productions participations,https://permid.org/1-5055442099,Firmenich Productions Participations SAS,73%,Good,True,Banking Services,Banking & Investment Services,Financials,France,France,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
fluvius system operator cvba,https://permid.org/1-4297633980,Fluvius System Operator CVBA,92%,Excellent,fluvius system operator,https://permid.org/1-4297633980,Fluvius System Operator CVBA,45%,Possible,True,Multiline Utilities,Utilities,Utilities,Belgium,Belgium,"Producers and distributors of electric power, natural gas and combined heat and power. Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations. Includes also utility infrastructure operators."
fonciere des regions,https://permid.org/1-5035902891,Fonciere des Regions Developpement SAS,57%,Possible,fonciere des region,,,,No Match,False,0,0,0,0,0,0
fonciere des regions sa,https://permid.org/1-5061332739,Fonciere des Regions SA,92%,Excellent,fonciere des regions,https://permid.org/1-5035902891,Fonciere des Regions Developpement SAS,57%,Possible,False,0,0,0,0,0,0
fortum oyj,https://permid.org/1-4295866494,Fortum Oyj,92%,Excellent,fortum,https://permid.org/1-4295866494,Fortum Oyj,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Finland,Finland,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
fresenius finance ireland plc,https://permid.org/1-5059049446,Fresenius Finance Ireland II PLC,78%,Good,fresenius finance ireland,https://permid.org/1-5059049446,Fresenius Finance Ireland II PLC,37%,Possible,True,0,0,0,0,0,0
fresenius medical care ag  co kgaa,https://permid.org/1-4295869203,Fresenius Medical Care AG & Co KGaA,83%,Good,fresenius medical care ag  co,https://permid.org/1-4295869203,Fresenius Medical Care AG & Co KGaA,82%,Good,True,Healthcare Providers & Services,Healthcare Services & Equipment,Healthcare,Germany,Germany,Operators of healthcare facilities and providers of managed healthcare.
fresenius medical care ag and co kgaa,https://permid.org/1-4295869203,Fresenius Medical Care AG & Co KGaA,92%,Excellent,fresenius medical care ag and co,https://permid.org/1-4295869203,Fresenius Medical Care AG & Co KGaA,77%,Good,True,Healthcare Providers & Services,Healthcare Services & Equipment,Healthcare,Germany,Germany,Operators of healthcare facilities and providers of managed healthcare.
fresenius se  co kgaa,https://permid.org/1-5001439044,Fresenius SE & Co KGaA,78%,Good,fresenius se  co,https://permid.org/1-5001439044,Fresenius SE & Co KGaA,73%,Good,True,Healthcare Providers & Services,Healthcare Services & Equipment,Healthcare,Germany,Germany,Operators of healthcare facilities and providers of managed healthcare.
gas natural cm sa,,,,No Match,gas natural cm,,,,No Match,False,0,0,0,0,0,0
gas natural fenosa finance bv,https://permid.org/1-4296948055,Naturgy Finance BV,92%,Excellent,gas natural fenosa finance,https://permid.org/1-4296948055,Naturgy Finance BV,71%,Good,True,Natural Gas Utilities,Utilities,Utilities,Netherlands,Netherlands,Producers and distributors of natural gas.
gas networks ireland,https://permid.org/1-5046712558,Gas Networks Ireland,92%,Excellent,gas networks ireland,https://permid.org/1-5046712558,Gas Networks Ireland,92%,Excellent,True,Oil & Gas Related Equipment and Services,Energy - Fossil Fuels,Energy,Ireland,Ireland,"Providers of oil and gas drilling and related services, as well as manufacturers of oil related equipment."
geberit international bv,https://permid.org/1-5000054357,Geberit International BV,92%,Excellent,geberit international,https://permid.org/1-4295890739,Geberit AG,66%,Good,False,Investment Banking & Investment Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations."
gecina,https://permid.org/1-4295867555,Gecina SA,92%,Excellent,gecina,https://permid.org/1-4295867555,Gecina SA,92%,Excellent,True,Residential & Commercial REITs,Real Estate,Real Estate,France,France,Investment trusts that secure interests related to rights on residential and commercial real estate.
gie engie alliance,,,,No Match,gie engie alliance,,,,No Match,False,0,0,0,0,0,0
givaudan finance europe bv,https://permid.org/1-5073623848,Givaudan Finance Europe BV,92%,Excellent,givaudan finance europe,https://permid.org/1-5073623848,Givaudan Finance Europe BV,66%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
glencore capital finance dac,https://permid.org/1-5076169227,Glencore Capital Finance DAC,92%,Excellent,glencore capital finance,https://permid.org/1-5076169227,Glencore Capital Finance DAC,52%,Possible,True,Investment Banking & Investment Services,Banking & Investment Services,Financials,Ireland,Ireland,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations."
glencore finance europe sa,https://permid.org/1-4295882975,Glencore Finance Europe SA,92%,Excellent,glencore finance europe,https://permid.org/1-5057819876,Glencore Finance (Europe) Ltd,74%,Good,False,Banking Services,Banking & Investment Services,Financials,Luxembourg,Luxembourg,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
global switch finance bv,https://permid.org/1-5076948433,Global Switch Finance BV,92%,Excellent,global switch finance,https://permid.org/1-5076948433,Global Switch Finance BV,59%,Possible,True,Professional & Commercial Services,Industrial & Commercial Services,Industrials,Netherlands,Netherlands,"Providers of environmental, employment, business support, professional information, and commercial printing services and supplies."
grand city properties sa,https://permid.org/1-5037587520,Grand City Properties SA,92%,Excellent,grand city properties,https://permid.org/1-5037587520,Grand City Properties SA,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,Luxembourg,Luxembourg,"Developers and managers of real estate who build, rent and lease residential and commercial properties. Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
groupe bruxelles lambert sa,https://permid.org/1-5066557287,Groupe Bruxelles Lambert SA,92%,Excellent,groupe bruxelles lambert,https://permid.org/1-4295859531,Groep Brussel Lambert NV,92%,Excellent,False,Construction Materials,Mineral Resources,Basic Materials,Belgium,Belgium,"Miners and producers of raw materials for road and building construction. Includes extractors of sand, gravel, rock, clay, granite, limestone, marble, slate, gypsum, lime, and producers of cement, concrete, and bricks, as well as operators of filtering, bleaching, crushing, cutting, sizing and processing services."
hannover re,https://permid.org/1-4295869315,Hannover Rueck SE,92%,Excellent,hannover re,https://permid.org/1-4295869315,Hannover Rueck SE,92%,Excellent,True,Insurance,Insurance,Financials,Germany,Germany,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers."
hannover rueck se,https://permid.org/1-4295869315,Hannover Rueck SE,92%,Excellent,hannover rueck,https://permid.org/1-4295869315,Hannover Rueck SE,92%,Excellent,True,Insurance,Insurance,Financials,Germany,Germany,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers."
heidelbergcement ag,https://permid.org/1-4295868961,HeidelbergCement AG,92%,Excellent,heidelbergcement,https://permid.org/1-4295868961,HeidelbergCement AG,75%,Good,True,Construction Materials,Mineral Resources,Basic Materials,Germany,Germany,"Miners and producers of raw materials for road and building construction. Includes extractors of sand, gravel, rock, clay, granite, limestone, marble, slate, gypsum, lime, and producers of cement, concrete, and bricks, as well as operators of filtering, bleaching, crushing, cutting, sizing and processing services."
heidelbergcement finlux sa,,,,No Match,heidelbergcement finlux,,,,No Match,False,0,0,0,0,0,0
heimstaden bostad treasury bv,https://permid.org/1-5076386265,Heimstaden Bostad Treasury BV,92%,Excellent,heimstaden bostad treasury,https://permid.org/1-5076386265,Heimstaden Bostad Treasury BV,79%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
heineken nv,https://permid.org/1-4295884692,Heineken NV,92%,Excellent,heineken,https://permid.org/1-4295884692,Heineken NV,92%,Excellent,True,Beverages,Food & Beverages,Consumer Non-Cyclicals,Netherlands,Netherlands,"Brewers, distillers, producers and distributors of beer and malt liquor, wine and distilled liquors, as well as non-alcoholic beverages including water, fruit drinks, sodas and other flavored beverages."
hella finance international bv,https://permid.org/1-5055943325,Hella Finance International BV,92%,Excellent,hella finance international,https://permid.org/1-5055943325,Hella Finance International BV,71%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
hella gmbh  co kgaa,https://permid.org/1-4298169984,HELLA GmbH & Co KGaA,76%,Good,hella gmbh  co,https://permid.org/1-4298169984,HELLA GmbH & Co KGaA,23%,Possible,True,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Germany,Germany,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
hella kgaa hueck,https://permid.org/1-5037142580,HELLA KGaA Hueck & Co,92%,Excellent,hella kgaa hueck,https://permid.org/1-5037142580,HELLA KGaA Hueck & Co,92%,Excellent,True,0,0,0,0,0,0
hella kgaa hueck  co,https://permid.org/1-5037142580,HELLA KGaA Hueck & Co,80%,Good,hella kgaa hueck  co,https://permid.org/1-5037142580,HELLA KGaA Hueck & Co,80%,Good,True,0,0,0,0,0,0
hemso treasury oyj,https://permid.org/1-5079156209,Hemso Treasury Oyj,92%,Excellent,hemso treasury,https://permid.org/1-5079156209,Hemso Treasury Oyj,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,Finland,Finland,"Developers and managers of real estate who build, rent and lease residential and commercial properties. Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
henkel ag  co kgaa,https://permid.org/1-4295869260,Henkel AG & Co KgaA,75%,Good,henkel ag  co,https://permid.org/1-4295869260,Henkel AG & Co KgaA,66%,Good,True,Chemicals,Chemicals,Basic Materials,Germany,Germany,"Producers and refiners of agricultural, commodity and specialty chemicals."
henkel ag kgaa,https://permid.org/1-4295869260,Henkel AG & Co KgaA,70%,Good,henkel ag,https://permid.org/1-4295869260,Henkel AG & Co KgaA,92%,Excellent,True,Chemicals,Chemicals,Basic Materials,Germany,Germany,"Producers and refiners of agricultural, commodity and specialty chemicals."
hera spa,https://permid.org/1-4295875817,Hera SpA,92%,Excellent,hera,https://permid.org/1-4295875817,Hera SpA,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,Italy,Italy,"Producers and distributors of electric power, natural gas and combined heat and power. Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations. Includes also utility infrastructure operators."
hm finance bv,,,,No Match,hm finance,https://permid.org/1-5074659578,H M Finance,92%,Excellent,False,0,0,0,0,0,0
hochtief ag,https://permid.org/1-4295869084,Hochtief AG,92%,Excellent,hochtief,https://permid.org/1-4295869084,Hochtief AG,92%,Excellent,True,Construction & Engineering,Industrial & Commercial Services,Industrials,Germany,Germany,"Builders and engineers that undertake commercial building, civil engineering, utility and other industrial plant construction projects. Includes builders of transportation infrastructure, dam and water works, as well as hotel, office buildings. Includes also manufacturers of heavy machinery for permanent installation."
holcim finance luxembg sa,,,,No Match,holcim finance luxembg,,,,No Match,False,0,0,0,0,0,0
holcim finance sa,https://permid.org/1-4296045812,Holcim Finance Luxembourg SA,50%,Possible,holcim finance,https://permid.org/1-4296045812,Holcim Finance Luxembourg SA,37%,Possible,True,Investment Banking & Investment Services,Banking & Investment Services,Financials,Luxembourg,Luxembourg,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations."
holcim usfinsarl  cie scs,,,,No Match,holcim usfinsarl  cie,,,,No Match,False,0,0,0,0,0,0
holcim usfinsarl scs,,,,No Match,holcim usfinsarl,,,,No Match,False,0,0,0,0,0,0
holding d infrastructures de transport,,,,No Match,holding d infrastructures de transport,,,,No Match,False,0,0,0,0,0,0
holding d infrastructures de transport sas,,,,No Match,holding d infrastructures de transport,,,,No Match,False,0,0,0,0,0,0
holding dinfrastr de transp,,,,No Match,holding dinfrastr de tran,,,,No Match,False,0,0,0,0,0,0
holding dinfrastructure,https://permid.org/1-5000919963,Hldg Dinfrastructure De Transport Sas,32%,Possible,holding dinfrastructure,https://permid.org/1-5000919963,Hldg Dinfrastructure De Transport Sas,32%,Possible,True,0,0,0,0,0,0
iberdrola finanzas sau,https://permid.org/1-4297231408,Iberdrola Finanzas SA,92%,Excellent,iberdrola finanzas,https://permid.org/1-4297231408,Iberdrola Finanzas SA,79%,Good,True,Banking Services,Banking & Investment Services,Financials,Spain,Spain,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
iberdrola international bv,https://permid.org/1-5050277472,Iberdrola International Finance BV,53%,Possible,iberdrola international,https://permid.org/1-5050277472,Iberdrola International Finance BV,44%,Possible,True,0,0,0,0,0,0
ignitis grupe uab,https://permid.org/1-5000609627,Ignitis Grupe AB,89%,Good,ignitis grupe uab,https://permid.org/1-5000609627,Ignitis Grupe AB,89%,Good,True,Electric Utilities & IPPs,Utilities,Utilities,Lithuania,Lithuania,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
immofinanz ag,https://permid.org/1-4295859001,Immofinanz AG,92%,Excellent,immofinanz,https://permid.org/1-4295859001,Immofinanz AG,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,Austria,Austria,"Developers and managers of real estate who build, rent and lease residential and commercial properties. Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
imperial brands finance netherlands bv,https://permid.org/1-5074840315,Imperial Brands Finance Netherlands BV,92%,Excellent,imperial brands finance netherlands,https://permid.org/1-5074840315,Imperial Brands Finance Netherlands BV,74%,Good,True,Investment Holding Companies,Investment Holding Companies,Financials,Netherlands,Netherlands,"Companies primarily engaged in investing in securities/stakes of other companies and for their own profits. Investment Holding Companies might have both minority and majority stakes. Excludes companies investing in private equity firms, classified in Private Equity; companies investing in venture capital firms, classified in Venture Capital; companies operating through subsidiaries/majority-held entities in various economic segments, classified according to the dominant segment of activity or, in case of a significant size and lack of dominant segment, in Industrial Conglomerates; UK-type investment trusts, classified in UK Investment Trusts."
infineon technologies ag,https://permid.org/1-4295870063,Infineon Technologies AG,92%,Excellent,infineon technologies,https://permid.org/1-4295870063,Infineon Technologies AG,59%,Possible,True,Semiconductors & Semiconductor Equipment,Technology Equipment,Technology,Germany,Germany,"Designers and manufacturers of semiconductors, as well as producers of testing and manufacturing equipment for semiconductor manufacturers."
infra park,https://permid.org/1-5050701816,DG Infra+ Park Invest BV,19%,Possible,infra park,https://permid.org/1-5050701816,DG Infra+ Park Invest BV,19%,Possible,True,0,0,0,0,0,0
infrastrutture wireless italiane spa,https://permid.org/1-5045517782,Infrastrutture Wireless Italiane SpA,92%,Excellent,infrastrutture wireless italiane,https://permid.org/1-5045517782,Infrastrutture Wireless Italiane SpA,75%,Good,True,Telecommunications Services,Telecommunications Services,Technology,Italy,Italy,Owners and operators of fixed line and wireless telecommunication networks providing voice and data services.
infrax cvba,https://permid.org/1-5037937293,Infrax CVBA,92%,Excellent,infrax,https://permid.org/1-4297695639,Infrax Systems Inc,22%,Possible,False,Construction & Engineering,Industrial & Commercial Services,Industrials,Belgium,Belgium,"Builders and engineers that undertake commercial building, civil engineering, utility and other industrial plant construction projects. Includes builders of transportation infrastructure, dam and water works, as well as hotel, office buildings. Includes also manufacturers of heavy machinery for permanent installation."
inmobiliaria colonial,https://permid.org/1-4295889320,Inmobiliaria Colonial SOCIMI SA,92%,Excellent,inmobiliaria colonial,https://permid.org/1-4295889320,Inmobiliaria Colonial SOCIMI SA,92%,Excellent,True,Residential & Commercial REITs,Real Estate,Real Estate,Spain,Spain,Investment trusts that secure interests related to rights on residential and commercial real estate.
innogy finance bv,https://permid.org/1-4296653814,innogy Finance BV,92%,Excellent,innogy finance,https://permid.org/1-4296653814,innogy Finance BV,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,Netherlands,Netherlands,"Producers and distributors of electric power, natural gas and combined heat and power. Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations. Includes also utility infrastructure operators."
innogy finance ii bv,https://permid.org/1-5048276776,innogy Finance II BV,92%,Excellent,innogy finance ii,https://permid.org/1-5048276776,innogy Finance II BV,66%,Good,True,Investment Holding Companies,Investment Holding Companies,Financials,Netherlands,Netherlands,"Companies primarily engaged in investing in securities/stakes of other companies and for their own profits. Investment Holding Companies might have both minority and majority stakes. Excludes companies investing in private equity firms, classified in Private Equity; companies investing in venture capital firms, classified in Venture Capital; companies operating through subsidiaries/majority-held entities in various economic segments, classified according to the dominant segment of activity or, in case of a significant size and lack of dominant segment, in Industrial Conglomerates; UK-type investment trusts, classified in UK Investment Trusts."
international consolidated airlines group,https://permid.org/1-5001229906,International Consolidated Airlines Group SA,80%,Good,international consolidated airlines group,https://permid.org/1-5001229906,International Consolidated Airlines Group SA,80%,Good,True,Passenger Transportation Services,Transportation,Industrials,United Kingdom,Spain,"Providers of transportation services to passengers via air, ground and sea."
iren spa,https://permid.org/1-4295875719,Iren SpA,92%,Excellent,iren,https://permid.org/1-4295875719,Iren SpA,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,Italy,Italy,"Producers and distributors of electric power, natural gas and combined heat and power. Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations. Includes also utility infrastructure operators."
iss finance bv,https://permid.org/1-5074640466,ISS Finance BV,92%,Excellent,iss finance,https://permid.org/1-5074640466,ISS Finance BV,92%,Excellent,True,Investment Holding Companies,Investment Holding Companies,Financials,Denmark,Netherlands,"Companies primarily engaged in investing in securities/stakes of other companies and for their own profits. Investment Holding Companies might have both minority and majority stakes. Excludes companies investing in private equity firms, classified in Private Equity; companies investing in venture capital firms, classified in Venture Capital; companies operating through subsidiaries/majority-held entities in various economic segments, classified according to the dominant segment of activity or, in case of a significant size and lack of dominant segment, in Industrial Conglomerates; UK-type investment trusts, classified in UK Investment Trusts."
iss finance nb,,,,No Match,iss finance nb,,,,No Match,False,0,0,0,0,0,0
italgas spa,https://permid.org/1-5052167677,Italgas SpA,92%,Excellent,italgas,https://permid.org/1-5052167677,Italgas SpA,92%,Excellent,True,Natural Gas Utilities,Utilities,Utilities,Italy,Italy,Producers and distributors of natural gas.
jab holdings bv,https://permid.org/1-5037932504,JAB Holdings BV,92%,Excellent,jab holdings,https://permid.org/1-5043346727,JAB Holding Company SARL,92%,Excellent,False,Investment Holding Companies,Investment Holding Companies,Financials,Netherlands,Netherlands,"Companies primarily engaged in investing in securities/stakes of other companies and for their own profits. Investment Holding Companies might have both minority and majority stakes. Excludes companies investing in private equity firms, classified in Private Equity; companies investing in venture capital firms, classified in Venture Capital; companies operating through subsidiaries/majority-held entities in various economic segments, classified according to the dominant segment of activity or, in case of a significant size and lack of dominant segment, in Industrial Conglomerates; UK-type investment trusts, classified in UK Investment Trusts."
jcdecaux sa,https://permid.org/1-4295867953,JCDecaux SA,92%,Excellent,jcdecaux,https://permid.org/1-4295867953,JCDecaux SA,92%,Excellent,True,Media & Publishing,Cyclical Consumer Services,Consumer Cyclicals,France,France,"Providers of advertising, marketing, broadcasting, entertainment production and publishing services."
john deere cash management sa,https://permid.org/1-4297058300,John Deere Cash Management SA,92%,Excellent,john deere cash management,https://permid.org/1-4297058300,John Deere Cash Management SA,92%,Excellent,True,Investment Banking & Investment Services,Banking & Investment Services,Financials,Luxembourg,Luxembourg,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations."
kelag karntner elektrizitats aktiengesellschaft,https://permid.org/1-4296717654,Kelag kaerntner Elektrizitaets AG,92%,Excellent,kelag karntner elektrizitats aktiengesellschaft,https://permid.org/1-4296717654,Kelag kaerntner Elektrizitaets AG,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,Austria,Austria,"Producers and distributors of electric power, natural gas and combined heat and power. Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations. Includes also utility infrastructure operators."
kering sa,https://permid.org/1-4295867170,Kering SA,92%,Excellent,kering,https://permid.org/1-4295867170,Kering SA,92%,Excellent,True,Specialty Retailers,Retailers,Consumer Cyclicals,France,France,"Retailers operating stores and dealerships focused on a single area. Includes auto part, home improvement, home furnishing, office supply, toy, sporting equipment, book, kitchenware and houseware retailers. Includes also garden centers, car and truck dealerships."
kerry group financial services,https://permid.org/1-4298364799,Kerry Group Financial Services Unlimited Co,26%,Possible,kerry group financial service,https://permid.org/1-4298364799,Kerry Group Financial Services Unlimited Co,26%,Possible,True,Investment Banking & Investment Services,Banking & Investment Services,Financials,Ireland,Ireland,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations."
kion group ag,https://permid.org/1-5066558455,Kion Group AG,92%,Excellent,kion group,https://permid.org/1-5066558455,Kion Group AG,92%,Excellent,True,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Goods,Industrials,Germany,Germany,"Manufacturers of industrial, construction, agricultural and electrical machinery, equipment & components, and shipbuilders."
klepierre,https://permid.org/1-4295866923,Klepierre SA,92%,Excellent,klepierre,https://permid.org/1-4295866923,Klepierre SA,92%,Excellent,True,Residential & Commercial REITs,Real Estate,Real Estate,France,France,Investment trusts that secure interests related to rights on residential and commercial real estate.
knorr bremse ag,https://permid.org/1-4295869167,Knorr Bremse AG,92%,Excellent,knorr bremse,https://permid.org/1-4295869167,Knorr Bremse AG,92%,Excellent,True,0,0,0,0,0,0
kojamo oyj,https://permid.org/1-4296619425,Kojamo Oyj,92%,Excellent,kojamo,https://permid.org/1-4296619425,Kojamo Oyj,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,Finland,Finland,"Developers and managers of real estate who build, rent and lease residential and commercial properties. Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
koninklijke ahold delhaize nv,https://permid.org/1-4295884672,Koninklijke Ahold Delhaize NV,92%,Excellent,koninklijke ahold delhaize,https://permid.org/1-4295884672,Koninklijke Ahold Delhaize NV,77%,Good,True,Food & Drug Retailing,Food & Drug Retailing,Consumer Non-Cyclicals,Netherlands,Netherlands,"Retailers operating pharmacies, grocery, convenience, liquor and specialty food stores."
koninklijke dsm nv,https://permid.org/1-4295884728,Koninklijke DSM NV,92%,Excellent,koninklijke dsm,https://permid.org/1-4295884728,Koninklijke DSM NV,92%,Excellent,True,Chemicals,Chemicals,Basic Materials,Netherlands,Netherlands,"Producers and refiners of agricultural, commodity and specialty chemicals."
koninklijke kpn nv,https://permid.org/1-4295884844,Koninklijke KPN NV,92%,Excellent,koninklijke kpn,https://permid.org/1-4295884844,Koninklijke KPN NV,62%,Good,True,Telecommunications Services,Telecommunications Services,Technology,Netherlands,Netherlands,Owners and operators of fixed line and wireless telecommunication networks providing voice and data services.
koninklijke philips nv,https://permid.org/1-4295884721,Koninklijke Philips NV,92%,Excellent,koninklijke philip,,,,No Match,False,Healthcare Equipment & Supplies,Healthcare Services & Equipment,Healthcare,Netherlands,Netherlands,"Manufacturers of advanced medical equipment, medical technology providers and basic medical supplies."
ks ag,https://permid.org/1-4295869106,K&S AG,92%,Excellent,ks,https://permid.org/1-4295869106,K&S AG,92%,Excellent,True,Chemicals,Chemicals,Basic Materials,Germany,Germany,"Producers and refiners of agricultural, commodity and specialty chemicals."
ks aktiengesellschaft,https://permid.org/1-4295869106,K&S AG,92%,Excellent,ks aktiengesellschaft,https://permid.org/1-4295869106,K&S AG,92%,Excellent,True,Chemicals,Chemicals,Basic Materials,Germany,Germany,"Producers and refiners of agricultural, commodity and specialty chemicals."
la poste,https://permid.org/1-4297057843,La Poste SA,92%,Excellent,la poste,https://permid.org/1-4297057843,La Poste SA,92%,Excellent,True,0,0,0,0,0,0
lanxess ag,https://permid.org/1-4295870205,Lanxess AG,92%,Excellent,lanxess,https://permid.org/1-4295870205,Lanxess AG,92%,Excellent,True,Chemicals,Chemicals,Basic Materials,Germany,Germany,"Producers and refiners of agricultural, commodity and specialty chemicals."
leg immobilien ag,https://permid.org/1-5038054895,LEG Immobilien SE,92%,Excellent,leg immobilien,https://permid.org/1-5038054895,LEG Immobilien SE,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,Germany,Germany,"Developers and managers of real estate who build, rent and lease residential and commercial properties. Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
legrand sa,https://permid.org/1-4295868617,Legrand SA,92%,Excellent,legrand,https://permid.org/1-4295868617,Legrand SA,92%,Excellent,True,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Goods,Industrials,France,France,"Manufacturers of industrial, construction, agricultural and electrical machinery, equipment & components, and shipbuilders."
leonardo spa,https://permid.org/1-4295875430,Leonardo SpA,92%,Excellent,leonardo,https://permid.org/1-4295875430,Leonardo SpA,92%,Excellent,True,Aerospace & Defense,Industrial Goods,Industrials,Italy,Italy,"Producers of commercial, military and private aircraft and spacecraft. Includes manufacturers of military equipment, vehicles, explosive ordnance, guidance systems, artillery, ammunition and other related weaponry. Includes also manufacturers of satellites."
liberty mutual fineurope dac,https://permid.org/1-5055406275,Liberty Mutual Finance Europe DAC,15%,Possible,liberty mutual fineurope,,,,No Match,False,0,0,0,0,0,0
lietuvos energija uab,https://permid.org/1-5069461045,Lietuvos Energija Renewables UAB,45%,Possible,lietuvos energija uab,https://permid.org/1-5069461045,Lietuvos Energija Renewables UAB,45%,Possible,True,0,0,0,0,0,0
linde ag,https://permid.org/1-4296772323,Linde Gas GmbH,51%,Possible,linde,https://permid.org/1-4295903205,Linde Inc,35%,Possible,False,Chemicals,Chemicals,Basic Materials,Austria,Austria,"Producers and refiners of agricultural, commodity and specialty chemicals."
linde finance bv,https://permid.org/1-4296717566,Linde Finance BV,92%,Excellent,linde finance,https://permid.org/1-4298343230,Linde Finance,92%,Excellent,False,Chemicals,Chemicals,Basic Materials,Netherlands,Netherlands,"Producers and refiners of agricultural, commodity and specialty chemicals."
linea group holding spa,https://permid.org/1-4297805945,Linea Group Holding SpA,92%,Excellent,linea group holding,https://permid.org/1-4297805945,Linea Group Holding SpA,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,Italy,Italy,"Producers and distributors of electric power, natural gas and combined heat and power. Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations. Includes also utility infrastructure operators."
lonza finance international nv,https://permid.org/1-5071534681,Lonza Finance International NV,92%,Excellent,lonza finance international,https://permid.org/1-5071534681,Lonza Finance International NV,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Belgium,Belgium,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
